2,67
3,91
4,100
5,100
6,100
7,96
8,96
9,100
10,100
11,100
12,84
13,84
14,84
15,84
16,70
17,84
18,80
19,74
20,90
21,80
22,100
23,93
24,84
25,88
26,64
27,61
28,75
29,81
30,100
31,100
32,100
33,100
34,94
35,94
36,93
37,100
38,100
39,100
40,100
41,94
42,77
43,66
44,60
45,69
46,77
47,77
48,77
49,77
50,77
51,77
52,77
53,78
54,78
55,74
56,70
57,64
58,61
59,74
60,83
61,91
62,77
63,54
64,40
65,23
66,38
67,56
68,84
69,90
70,90
71,83
72,56
73,63
74,70
75,90
76,100
77,100
78,94
79,80
80,94
81,100
82,100
83,100
84,100
85,97
86,91
87,90
88,97
89,87
90,74
91,64
92,61
